,Date,Reach,Amount of Reach,Impressions,Amount of Impressions,Day,Day of the Week,Week,Month,Year
0,2020-09-30,Daily Organic Reach,753,Daily Organic impressions,1378,30,Wednesday,40,September,2020
1,2020-09-30,Daily Organic Reach,753,Daily Paid Impressions,0,30,Wednesday,40,September,2020
2,2020-09-30,Daily Paid Reach,0,Daily Organic impressions,1378,30,Wednesday,40,September,2020
3,2020-09-30,Daily Paid Reach,0,Daily Paid Impressions,0,30,Wednesday,40,September,2020
4,2020-10-01,Daily Organic Reach,329,Daily Organic impressions,436,1,Thursday,40,October,2020
5,2020-10-01,Daily Organic Reach,329,Daily Paid Impressions,0,1,Thursday,40,October,2020
6,2020-10-01,Daily Paid Reach,0,Daily Organic impressions,436,1,Thursday,40,October,2020
7,2020-10-01,Daily Paid Reach,0,Daily Paid Impressions,0,1,Thursday,40,October,2020
8,2020-10-02,Daily Organic Reach,596,Daily Organic impressions,971,2,Friday,40,October,2020
9,2020-10-02,Daily Organic Reach,596,Daily Paid Impressions,0,2,Friday,40,October,2020
10,2020-10-02,Daily Paid Reach,0,Daily Organic impressions,971,2,Friday,40,October,2020
11,2020-10-02,Daily Paid Reach,0,Daily Paid Impressions,0,2,Friday,40,October,2020
12,2020-10-03,Daily Organic Reach,513,Daily Organic impressions,848,3,Saturday,40,October,2020
13,2020-10-03,Daily Organic Reach,513,Daily Paid Impressions,0,3,Saturday,40,October,2020
14,2020-10-03,Daily Paid Reach,0,Daily Organic impressions,848,3,Saturday,40,October,2020
15,2020-10-03,Daily Paid Reach,0,Daily Paid Impressions,0,3,Saturday,40,October,2020
16,2020-10-04,Daily Organic Reach,232,Daily Organic impressions,320,4,Sunday,40,October,2020
17,2020-10-04,Daily Organic Reach,232,Daily Paid Impressions,0,4,Sunday,40,October,2020
18,2020-10-04,Daily Paid Reach,0,Daily Organic impressions,320,4,Sunday,40,October,2020
19,2020-10-04,Daily Paid Reach,0,Daily Paid Impressions,0,4,Sunday,40,October,2020
20,2020-10-05,Daily Organic Reach,327,Daily Organic impressions,442,5,Monday,41,October,2020
21,2020-10-05,Daily Organic Reach,327,Daily Paid Impressions,0,5,Monday,41,October,2020
22,2020-10-05,Daily Paid Reach,0,Daily Organic impressions,442,5,Monday,41,October,2020
23,2020-10-05,Daily Paid Reach,0,Daily Paid Impressions,0,5,Monday,41,October,2020
24,2020-10-06,Daily Organic Reach,161,Daily Organic impressions,313,6,Tuesday,41,October,2020
25,2020-10-06,Daily Organic Reach,161,Daily Paid Impressions,0,6,Tuesday,41,October,2020
26,2020-10-06,Daily Paid Reach,0,Daily Organic impressions,313,6,Tuesday,41,October,2020
27,2020-10-06,Daily Paid Reach,0,Daily Paid Impressions,0,6,Tuesday,41,October,2020
28,2020-10-07,Daily Organic Reach,303,Daily Organic impressions,437,7,Wednesday,41,October,2020
29,2020-10-07,Daily Organic Reach,303,Daily Paid Impressions,0,7,Wednesday,41,October,2020
